Date,Open,High,Low,Close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES
8/24/16,117.49,117.64,116.41,116.8,116.579,118.3262367,114.8317633,17728656,15661722.65,61.82110622,64.76858194,2.645223658,-64.35222134,-0.232054837,1.305170989,1.537225827,19.76567391,65.63216791,-0.265925004,110.2017801
8/25/16,116.48,116.97,116.36,116.61,116.6605,118.2464064,115.0745936,24266264,16028052.75,61.01500562,64.4544591,1.771687904,-80.91934085,-0.282523277,1.18407173,1.466595007,-5.290173895,48.5496683,-0.417838342,110.2644632
8/26/16,116.66,117.54,116.08,116.78,116.738,118.1818366,115.2941634,23895963,16103584.9,61.48167107,64.20595617,1.56548965,-63.72117129,-0.301867245,1.089260952,1.391128196,5.113221329,35.1962521,-0.280569923,110.3247458
8/29/16,116.81,117.251,116.79,116.94,116.793,118.17844,115.40756,11184872,15963324.65,61.92710728,63.95251632,1.483988545,-55.42886758,-0.300639113,1.015329305,1.315968418,19.86218079,24.67210758,-0.145162668,110.3860707
8/30/16,116.73,117.09,116.16,116.56,116.873,117.983281,115.762719,19843301,15891570.55,60.2098335,63.6543387,0.621546961,-75.12308888,-0.32035749,0.915521556,1.235879046,-51.56082695,-2.421984964,-0.466001415,110.448333
8/31/16,116.38,116.56,115.95,116.44,116.928,117.8157522,116.0402478,16169794,15949496.6,59.66722988,63.24609688,1.287404315,-76.20781743,-0.33484831,0.817318658,1.152166968,-94.29951691,-25.23502313,-0.527215035,110.5063938
9/1/16,116.48,116.88,115.91,116.74,116.9815,117.6650283,116.2979717,20944727,16354968.15,60.58929146,62.89225418,1.21380267,-60.4667778,-0.317736361,0.754996517,1.072732878,-54.45628277,-35.0682449,-0.242928818,110.5627631
9/2/16,117.32,117.56,116.68,117.12,116.9985,117.6780373,116.3189627,18088215,16099550.4,61.73983093,62.5487051,1.25356618,-42.36723029,-0.275883847,0.72787807,1.003761916,27.69230769,-30.55242763,0.117233294,110.6214469
9/6/16,117.29,117.85,117.06,117.85,117.0585,117.8122181,116.3047819,18525231,16407902.9,63.84545051,62.53588475,0.916252783,-7.597046916,-0.197753426,0.756570134,0.95432356,168.8533333,-0.75419712,0.692071087,110.6831831
9/7/16,117.95,118.12,117.47,117.92,117.1085,117.9467667,116.2702333,17546872,16621423.6,64.04250578,62.50484577,1.088726961,-9.049773756,-0.142649379,0.776011836,0.918661215,157.4276153,41.04349133,0.711313918,110.7512679
9/8/16,117.57,117.6,116.92,117.23,117.139,117.9478238,116.3301762,20125319,16893269.3,60.6582998,62.22735594,0.265138556,-40.27149321,-0.153042761,0.727357764,0.880400525,18.78224974,63.65984466,0.125674126,110.8193708
9/9/16,116.23,116.51,114.26,114.28,116.997,118.4830162,115.5109838,50813287,18785443.7,49.13143366,61.13541065,-2.006516892,-99.48186528,-0.347822929,0.445621864,0.793444793,-375.328084,-0.514515583,-2.216137589,110.8802718
9/12/16,113.64,116.49,113.63,116.33,116.9535,118.463934,115.443066,39645960,19798789.9,55.26596452,60.46646558,-0.674521858,-39.86636971,-0.328081386,0.38334306,0.711424446,-81.47930347,-22.34883782,-0.39996086,110.9125692
